Date,Product,Category,Quantity,Unit_Price,Sales
2025-06-16,Casual Canvas Sneakers,Fashion,1,55.0,72.64
2025-06-16,Wireless Bluetooth Mouse,Electronics,2,25.0,66.3
2025-06-17,Almonds & Cashews Trail Mix,Groceries,4,14.0,73.35
2025-06-18,Portable External SSD 1TB,Electronics,1,110.0,149.13
2025-06-18,Slim Fit Denim Jeans,Fashion,2,45.0,120.96
2025-06-19,Classic Leather Belt,Fashion,2,22.0,58.26
2025-06-19,Classic Leather Belt,Fashion,4,20.9,108.57
2025-06-20,Smart Fitness Watch,Electronics,1,89.25,115.85
2025-06-20,Automatic Drip Coffee Maker,Home & Kitchen,4,75.0,403.11
2025-06-20,Non-Stick Frying Pan Set,Home & Kitchen,4,40.0,211.23
2025-06-21,Stainless Steel Water Bottle,Home & Kitchen,3,14.25,56.25
2025-06-21,Casual Canvas Sneakers,Fashion,3,55.0,223.57
2025-06-22,Premium Extra Virgin Olive Oil,Groceries,6,20.9,169.46
2025-06-22,Almonds & Cashews Trail Mix,Groceries,3,14.0,57.12
2025-06-22,Stainless Steel Water Bottle,Home & Kitchen,5,15.0,105.48
2025-06-22,Organic Green Tea Box,Groceries,6,12.0,96.66
2025-06-23,Mechanical Keyboard,Electronics,3,61.75,250.28
2025-06-24,Organic Green Tea Box,Groceries,1,12.0,16.62
2025-06-25,Portable External SSD 1TB,Electronics,4,110.0,570.38
2025-06-25,Casual Canvas Sneakers,Fashion,1,55.0,76.94
2025-06-26,Organic Roasted Coffee Beans,Groceries,2,16.8,46.29
2025-06-27,Premium Extra Virgin Olive Oil,Groceries,2,20.9,58.33
2025-06-27,Air Fryer 4L,Home & Kitchen,2,95.0,251.84
2025-06-27,Stainless Steel Water Bottle,Home & Kitchen,2,15.0,42.32
2025-06-28,Slim Fit Denim Jeans,Fashion,3,42.75,178.45
2025-06-28,Organic Green Tea Box,Groceries,3,12.0,49.44
2025-06-29,Portable External SSD 1TB,Electronics,1,110.0,152.29
2025-06-29,Non-Stick Frying Pan Set,Home & Kitchen,5,36.0,253.46
2025-06-29,Portable External SSD 1TB,Electronics,6,110.0,927.66
2025-06-30,Premium Extra Virgin Olive Oil,Groceries,5,22.0,146.14
2025-06-30,Air Fryer 4L,Home & Kitchen,2,95.0,265.85
2025-06-30,Wireless Bluetooth Mouse,Electronics,1,25.0,32.36
2025-07-01,Organic Green Tea Box,Groceries,1,12.0,15.86
2025-07-02,Casual Canvas Sneakers,Fashion,2,55.0,143.94
2025-07-02,Air Fryer 4L,Home & Kitchen,1,90.25,117.58
2025-07-02,Automatic Drip Coffee Maker,Home & Kitchen,4,67.5,349.91
2025-07-03,Mechanical Keyboard,Electronics,2,65.0,168.87
2025-07-03,Stainless Steel Water Bottle,Home & Kitchen,4,15.0,78.44
2025-07-04,Portable External SSD 1TB,Electronics,1,110.0,156.21
2025-07-04,Classic Leather Belt,Fashion,2,20.9,54.71
2025-07-05,Classic Leather Belt,Fashion,5,20.9,149.18
2025-07-05,Premium Extra Virgin Olive Oil,Groceries,2,20.9,58.71
2025-07-05,Almonds & Cashews Trail Mix,Groceries,5,13.3,88.81
2025-07-06,Casual Canvas Sneakers,Fashion,2,55.0,146.47
2025-07-06,Classic Leather Belt,Fashion,4,20.9,114.64
2025-07-06,Mechanical Keyboard,Electronics,6,58.5,482.93
2025-07-07,Air Fryer 4L,Home & Kitchen,2,99.75,271.94
2025-07-08,Classic Leather Belt,Fashion,1,19.8,25.92
2025-07-08,Cotton Crewneck T-Shirt,Fashion,1,18.0,24.78
2025-07-08,Organic Green Tea Box,Groceries,4,12.6,69.61
2025-07-09,Stainless Steel Water Bottle,Home & Kitchen,3,14.25,61.7
2025-07-10,Non-Stick Frying Pan Set,Home & Kitchen,1,40.0,56.47
2025-07-11,Mechanical Keyboard,Electronics,1,58.5,80.47
2025-07-12,Automatic Drip Coffee Maker,Home & Kitchen,1,71.25,100.6
2025-07-12,Classic Leather Belt,Fashion,4,22.0,117.74
2025-07-12,Casual Canvas Sneakers,Fashion,2,49.5,134.76
2025-07-13,USB-C Fast Charger,Electronics,1,21.0,28.7
2025-07-13,Premium Extra Virgin Olive Oil,Groceries,4,19.8,114.1
2025-07-13,Mechanical Keyboard,Electronics,1,58.5,79.01
2025-07-14,Non-Stick Frying Pan Set,Home & Kitchen,2,36.0,100.46
2025-07-14,Premium Extra Virgin Olive Oil,Groceries,3,22.0,89.51
2025-07-15,Stainless Steel Water Bottle,Home & Kitchen,1,15.75,22.95
2025-07-16,Noise-Cancelling Headphones,Electronics,3,120.0,492.47
2025-07-16,Organic Roasted Coffee Beans,Groceries,3,16.8,72.15
2025-07-17,Classic Leather Belt,Fashion,3,22.0,96.58
2025-07-17,Slim Fit Denim Jeans,Fashion,2,45.0,119.49
2025-07-17,Stainless Steel Water Bottle,Home & Kitchen,3,15.0,64.92
2025-07-18,Stainless Steel Water Bottle,Home & Kitchen,2,14.25,39.47
2025-07-18,Mechanical Keyboard,Electronics,3,61.75,268.88
2025-07-18,Almonds & Cashews Trail Mix,Groceries,5,12.6,88.66
2025-07-19,Organic Roasted Coffee Beans,Groceries,1,15.2,20.69
2025-07-19,Air Fryer 4L,Home & Kitchen,6,95.0,782.36
2025-07-19,Automatic Drip Coffee Maker,Home & Kitchen,2,71.25,204.79
